X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
Luka Modric,87,CM,Rare,21.5K,4,4,H \ M,73,76,89,88,71,66,"172cm | 5'8""
                                                                              Lean  (66kg)",848,463,2292
Ciro Immobile,87,ST,Rare,19K,3,4,H \ M,84,88,67,83,39,77,"185cm | 6'1""
                                                                              Unique  (85kg)",818,438,2096
Aubameyang,87,ST,Rare,21.5K,4,4,H \ H,93,86,75,81,38,69,"187cm | 6'2""
                                                                              Unique  (80kg)",3906,442,2112
Bruno Fernandes,87,CAM,Rare,25.75K,4,4,H \ H,77,83,88,85,68,75,"179cm | 5'10""
                                                                              Lean  (69kg)",5319,476,2326
Ángel Di María,87,RW,Rare,20K,5,2,H \ M,83,81,85,87,48,68,"180cm | 5'11""
                                                                              Unique  (69kg)",362,452,2203
Jadon Sancho,87,RM,Rare,19.5K,5,3,H \ M,83,74,81,91,37,64,"180cm | 5'11""
                                                                              Average  (76kg)",-310,430,2015
Heung Min Son,87,LM,Rare,24.5K,4,5,H \ H,88,86,80,87,43,69,"183cm | 6'0""
                                                                              Unique  (78kg)",9165,453,2162
Luis Suárez,87,ST,Rare,0,3,4,H \ M,70,90,82,83,51,83,"182cm | 6'0""
                                                                              Unique  (86kg)",160,459,2248
Trent Alexander-Arnold,87,RB,Rare,23.5K,3,4,H \ M,80,66,87,80,80,71,"180cm | 5'11""
                                                                              Unique  (69kg)",254,464,2245
Antoine Griezmann,87,ST,Rare,25.5K,4,3,M \ M,79,85,84,88,57,72,"176cm | 5'9""
                                                                              Unique  (73kg)",2105,465,2314
Aymeric Laporte,87,CB,Rare,22.25K,2,3,M \ M,63,50,72,69,88,81,"189cm | 6'2""
                                                                              Unique  (85kg)",628,423,2025
Wojciech Szczesny,87,GK,Rare,19.5K,1,3,M \ M,86,82,73,88,49,87,"195cm | 6'5""
                                                                              High & Average+  (90kg)",115,465,966
Roberto Firmino,87,CF,Rare,20K,5,4,H \ H,77,80,81,90,61,78,"181cm | 5'11""
                                                                              Unique  (76kg)",1697,467,2252
Bernardo Silva,87,RW,Rare,20.75K,4,3,H \ H,81,77,83,92,51,67,"173cm | 5'8""
                                                                              Lean  (64kg)",1132,451,2157
Andrew Robertson,87,LB,Rare,22K,3,2,H \ H,83,62,80,80,81,76,"178cm | 5'10""
                                                                              Unique  (64kg)",648,462,2160
Fabinho,87,CDM,Rare,21K,3,2,M \ H,67,69,79,77,85,83,"188cm | 6'2""
                                                                              Unique  (78kg)",1206,460,2208
Keylor Navas,87,GK,Rare,19.75K,1,3,M \ M,90,81,75,90,54,82,"185cm | 6'1""
                                                                              High & Average  (80kg)",299,472,1029
Sergio Busquets,87,CDM,Rare,21K,3,3,M \ M,42,62,80,81,83,77,"189cm | 6'2""
                                                                              High & Average+  (76kg)",-234,425,2066
Giorgio Chiellini,87,CB,Rare,21K,2,3,M \ H,66,46,58,62,90,79,"187cm | 6'2""
                                                                              High & Average  (85kg)",232,401,1899
Hugo Lloris,87,GK,Rare,19.25K,1,1,M \ M,89,82,68,90,64,84,"188cm | 6'2""
                                                                              Unique  (82kg)",1579,477,1013
Luis Suárez,87,ST,Rare,20.25K,3,4,H \ M,70,90,82,83,51,83,"182cm | 6'0""
                                                                              Average  (86kg)",433,459,2248
Thomas Müller,86,CAM,Rare,13.5K,3,4,H \ H,68,82,82,78,56,71,"186cm | 6'1""
                                                                              High & Average+  (75kg)",41,437,2149
Jamie Vardy,86,ST,Rare,26K,3,3,H \ H,88,85,66,79,55,75,"179cm | 5'10""
                                                                              Unique  (74kg)",2034,448,2143
Paul Pogba,86,CM,Rare,17.75K,5,4,H \ M,73,81,86,85,66,85,"191cm | 6'3""
                                                                              Unique  (84kg)",4958,476,2302
Marco Verratti,86,CM,Rare,14.25K,4,4,M \ H,64,60,85,90,79,67,"165cm | 5'5""
                                                                              Unique  (60kg)",198,445,2198
Piqué,86,CB,Rare,17.25K,2,3,H \ M,57,61,71,69,86,80,"194cm | 6'4""
                                                                              Unique  (85kg)",62,424,2021
Alejandro Gómez,86,CAM,Rare,18K,4,4,H \ M,90,79,84,88,39,55,"167cm | 5'6""
                                                                              Short & Lean-  (68kg)",1373,435,2104
Jordan Henderson,86,CDM,Rare,16.25K,3,3,H \ H,65,74,84,79,81,82,"182cm | 6'0""
                                                                              Average  (80kg)",101,465,2253
Carvajal,86,RB,Rare,17K,3,3,H \ H,80,54,78,81,82,80,"173cm | 5'8""
                                                                              Unique  (73kg)",587,455,2150
Mats Hummels,86,CB,Rare,15.5K,3,3,H \ H,58,58,77,73,89,77,"191cm | 6'3""
                                                                              High & Average  (94kg)",119,432,2087
David Silva,86,CAM,Rare,14.25K,4,2,H \ M,64,74,88,88,52,55,"173cm | 5'8""
                                                                              Average  (67kg)",161,421,2106
De Gea,86,GK,Rare,14.75K,1,3,M \ M,88,81,78,89,57,82,"192cm | 6'4""
                                                                              Unique  (82kg)",632,475,1096
Raphaël Varane,86,CB,Rare,21.75K,2,3,M \ H,82,49,64,65,87,82,"191cm | 6'3""
                                                                              Unique  (81kg)",5033,429,1966
Jordi Alba,86,LB,Rare,17.25K,3,3,H \ M,88,69,81,83,78,72,"170cm | 5'7""
                                                                              Unique  (68kg)",1111,471,2244
Yann Sommer,86,GK,Rare,13K,1,4,M \ M,80,86,85,85,50,87,"183cm | 6'0""
                                                                              Average  (79kg)",93,473,1000
Alejandro Gómez,86,CAM,Rare,13.25K,4,4,H \ M,90,79,84,88,39,55,"167cm | 5'6""
                                                                              Short & Lean-  (68kg)",736,435,2104
Serge Gnabry,85,RM,Rare,8.3K,4,4,H \ M,82,83,78,85,43,70,"175cm | 5'9""
                                                                              Unique  (75kg)",-816,441,2101
Marquinhos,85,CB,Rare,11K,3,3,M \ H,72,41,73,71,87,78,"183cm | 6'0""
                                                                              Average  (75kg)",560,422,2001
Romelu Lukaku,85,ST,Rare,7.8K,3,4,M \ M,81,83,76,75,38,84,"191cm | 6'3""
                                                                              Unique  (94kg)",554,437,2048
Thiago,85,CM,Rare,0,5,3,M \ M,64,72,85,90,70,62,"174cm | 5'9""
                                                                              Average  (70kg)",-300,443,2219
Kai Havertz,85,CAM,Rare,8.6K,4,4,M \ M,84,81,79,85,45,67,"188cm | 6'2""
                                                                              Unique  (83kg)",2631,441,2095
Luis Alberto,85,CAM,Rare,7.8K,4,3,M \ M,74,76,86,85,58,59,"183cm | 6'0""
                                                                              Lean  (74kg)",145,438,2083
Riyad Mahrez,85,RW,Rare,10K,5,4,M \ M,83,79,81,90,38,59,"179cm | 5'10""
                                                                              Unique  (67kg)",1531,430,2064
Memphis Depay,85,CF,Rare,7.5K,5,3,H \ L,86,83,81,83,32,80,"176cm | 5'9""
                                                                              Stocky  (78kg)",1687,445,2123
Gianluigi Donnarumma,85,GK,Rare,7.8K,1,3,M \ M,89,81,76,89,49,83,"196cm | 6'5""
                                                                              Unique  (90kg)",425,467,980
Hakim Ziyech,85,CAM,Rare,7.6K,5,2,H \ H,80,76,87,83,50,66,"181cm | 5'11""
                                                                              Unique  (65kg)",1163,442,2124
Marco Reus,85,CAM,Rare,8K,4,4,H \ M,80,86,84,85,45,63,"180cm | 5'11""
                                                                              Unique  (71kg)",1261,443,2171
Timo Werner,85,ST,Rare,11K,3,4,H \ M,91,85,69,84,35,71,"180cm | 5'11""
                                                                              Unique  (76kg)",5214,435,2058
Sergej Milinkovic-Savic,85,CM,Rare,7.3K,4,4,H \ M,69,79,80,83,79,85,"191cm | 6'3""
                                                                              High & Average  (76kg)",320,475,2262
Georginio Wijnaldum,85,CM,Rare,8K,4,4,H \ H,76,75,81,86,78,79,"175cm | 5'9""
                                                                              Unique  (69kg)",3972,475,2299
Matthijs de Ligt,85,CB,Rare,8.1K,2,4,M \ H,72,59,66,69,85,84,"189cm | 6'2""
                                                                              High & Average  (89kg)",708,435,2014
Thiago Silva,85,CB,Rare,8.6K,2,3,M \ H,59,54,72,72,86,78,"183cm | 6'0""
                                                                              Average  (79kg)",363,421,2078
Ricardo Pereira,85,RB,Rare,8.7K,3,4,H \ H,83,66,79,82,81,76,"175cm | 5'9""
                                                                              Unique  (70kg)",598,467,2207
Lorenzo Insigne,85,LW,Rare,8.2K,4,4,H \ M,88,78,83,91,36,44,"163cm | 5'4""
                                                                              Unique  (59kg)",760,420,2039
Miralem Pjanic,85,CM,Rare,7.5K,3,4,M \ M,67,68,87,85,75,67,"178cm | 5'10""
                                                                              Average  (72kg)",93,449,2225
Marcus Rashford,85,LM,Rare,19.25K,5,4,H \ M,91,83,78,85,45,78,"186cm | 6'1""
                                                                              Unique  (70kg)",13719,460,2178
Leroy Sané,85,LM,Rare,7.6K,4,3,H \ M,93,81,79,85,38,67,"183cm | 6'0""
                                                                              Unique  (75kg)",2199,443,2114
Parejo,85,CM,Rare,8.3K,3,4,M \ M,50,83,90,81,71,69,"182cm | 6'0""
                                                                              Lean  (74kg)",75,444,2207
Milan Škriniar,85,CB,Rare,7.8K,2,4,M \ H,69,41,59,66,87,81,"188cm | 6'2""
                                                                              Unique  (80kg)",160,403,1839
Koke,85,CM,Rare,7.5K,3,4,H \ H,67,75,85,81,76,80,"176cm | 5'9""
                                                                              Average  (77kg)",217,464,2235
Dries Mertens,85,CF,Rare,7.9K,4,4,H \ L,86,82,80,89,35,51,"169cm | 5'7""
                                                                              Unique  (61kg)",1749,423,2065
Bernd Leno,85,GK,Rare,7.4K,1,3,M \ M,85,83,80,86,55,84,"190cm | 6'3""
                                                                              High & Average  (82kg)",487,473,1020
Clément Lenglet,85,CB,Rare,12.25K,2,4,M \ H,74,45,67,66,87,81,"186cm | 6'1""
                                                                              Unique  (81kg)",1692,420,1964
Leonardo Bonucci,85,CB,Rare,7.8K,2,4,M \ H,60,58,69,71,87,77,"190cm | 6'3""
                                                                              High & Average+  (85kg)",55,422,2040
Frenkie de Jong,85,CM,Rare,8.1K,4,3,M \ H,80,64,84,87,76,77,"180cm | 5'11""
                                                                              Unique  (74kg)",3068,468,2226
Rodrigo,85,CDM,Rare,8K,3,4,M \ H,65,68,77,77,82,80,"191cm | 6'3""
                                                                              High & Average  (82kg)",248,449,2131
Péter Gulácsi,85,GK,Rare,7.1K,1,2,M \ M,84,85,82,86,43,84,"191cm | 6'3""
                                                                              High & Average  (86kg)",350,464,939
Toby Alderweireld,85,CB,Rare,8K,2,3,M \ M,63,55,72,68,87,79,"186cm | 6'1""
                                                                              High & Average  (81kg)",145,424,2051
Diego Godín,85,CB,Rare,0,2,3,M \ H,57,48,64,62,87,79,"187cm | 6'2""
                                                                              High & Average+  (78kg)",-38,397,1906
Mauro Icardi,85,ST,Rare,7.3K,3,4,M \ M,73,85,65,78,36,68,"181cm | 5'11""
                                                                              Unique  (75kg)",-111,405,1986
Kyle Walker,85,RB,Rare,24K,3,2,H \ H,92,63,76,77,80,82,"183cm | 6'0""
                                                                              Unique  (70kg)",3579,470,2207
Alex Sandro,85,LB,Rare,18.5K,3,3,H \ M,81,65,77,80,81,81,"180cm | 5'11""
                                                                              Unique  (80kg)",406,465,2218
Christian Eriksen,85,CAM,Rare,8K,4,5,H \ H,72,81,88,82,53,63,"181cm | 5'11""
                                                                              Unique  (76kg)",329,439,2133
Diego Godín,85,CB,Rare,7.5K,2,3,M \ H,57,48,64,62,87,79,"187cm | 6'2""
                                                                              High & Average+  (78kg)",120,397,1906
Thiago,85,CM,Rare,8.7K,5,3,M \ M,64,72,85,90,70,62,"174cm | 5'9""
                                                                              Average  (70kg)",838,443,2219
Erling Haaland,84,ST,Rare,6.7K,3,3,H \ H,84,87,63,76,43,85,"194cm | 6'4""
                                                                              Unique  (88kg)",1989,438,2058
Wissam Ben Yedder,84,ST,Rare,4.4K,4,5,H \ H,84,83,77,87,39,63,"170cm | 5'7""
                                                                              Unique  (68kg)",3132,433,2122
Josip Ilicic,84,CF,Rare,3.5K,4,4,M \ M,70,86,84,85,43,68,"190cm | 6'3""
                                                                              High & Average+  (79kg)",124,436,2074
Felipe,84,CB,Rare,5.8K,2,3,M \ H,62,41,58,62,86,86,"190cm | 6'3""
                                                                              High & Average  (83kg)",152,395,1847
Fernandinho,84,CB,Rare,7.4K,3,4,M \ H,64,72,78,78,85,79,"179cm | 5'10""
                                                                              Lean  (67kg)",344,456,2225
David Alaba,84,CB,Rare,6.6K,3,4,M \ M,77,70,81,80,83,76,"180cm | 5'11""
                                                                              Lean  (78kg)",1138,467,2281
Stefan de Vrij,84,CB,Rare,4.5K,2,4,M \ H,68,41,62,69,86,75,"189cm | 6'2""
                                                                              Unique  (78kg)",49,401,1853
Kingsley Coman,84,LM,Rare,4.1K,4,3,M \ L,93,76,77,87,29,59,"179cm | 5'10""
                                                                              Unique  (75kg)",830,421,2002
Oyarzabal,84,LW,Rare,5.1K,3,3,H \ M,81,82,80,83,41,63,"181cm | 5'11""
                                                                              Lean  (79kg)",148,430,2064
Guerreiro,84,LM,Rare,3.6K,4,2,M \ M,74,78,84,87,73,57,"170cm | 5'7""
                                                                              Short & Lean-  (71kg)",151,453,2189
Pizzi,84,RM,Rare,3.2K,3,4,H \ M,75,78,83,83,65,68,"177cm | 5'10""
                                                                              Average  (72kg)",59,452,2190
Grimaldo,84,LB,Rare,3.6K,3,2,H \ M,85,65,79,84,77,71,"171cm | 5'7""
                                                                              Average  (69kg)",145,461,2216
Jesús Navas,84,RB,Rare,4.8K,4,2,H \ M,87,69,79,83,80,58,"172cm | 5'8""
                                                                              Short & Lean  (60kg)",1184,456,2196
Azpilicueta,84,RB,Rare,5.1K,2,3,M \ M,67,55,77,72,84,76,"178cm | 5'10""
                                                                              Average  (77kg)",76,431,2110
Nicolás Tagliafico,84,LB,Rare,3.5K,3,2,H \ H,82,56,73,76,82,79,"172cm | 5'8""
                                                                              Average  (65kg)",249,448,2115
Alex Telles,84,LB,Rare,8.8K,3,2,H \ H,85,74,83,80,79,76,"181cm | 5'11""
                                                                              Unique  (71kg)",631,477,2300
Lucas Digne,84,LB,Rare,4.8K,3,2,H \ M,78,69,80,79,80,76,"178cm | 5'10""
                                                                              Unique  (74kg)",291,462,2247
Salvatore Sirigu,84,GK,Rare,3.4K,1,2,M \ M,84,80,76,82,50,84,"192cm | 6'4""
                                                                              High & Average  (80kg)",116,456,916
André Onana,84,GK,Rare,12.75K,1,3,M \ M,84,80,87,86,63,82,"190cm | 6'3""
                                                                              High & Stocky  (93kg)",254,482,1100
Rui Patrício,84,GK,Rare,3.5K,1,2,M \ M,84,80,77,83,55,82,"190cm | 6'3""
                                                                              High & Average  (84kg)",228,461,1035
Kasper Schmeichel,84,GK,Rare,3.4K,1,3,M \ M,82,77,83,89,53,79,"189cm | 6'2""
                                                                              High & Stocky  (89kg)",238,463,1023
Roman Bürki,84,GK,Rare,3.4K,1,2,M \ M,85,82,72,88,46,82,"187cm | 6'2""
                                                                              High & Average  (85kg)",227,455,935
Iago Aspas,84,ST,Rare,6.9K,3,4,H \ H,82,85,77,86,35,63,"176cm | 5'9""
                                                                              Lean  (67kg)",551,428,2080
Thomas Partey,84,CM,Rare,13K,3,3,M \ H,71,74,81,81,82,85,"185cm | 6'1""
                                                                              High & Average  (77kg)",608,474,2229
Isco,84,CAM,Rare,4.7K,4,3,M \ L,68,75,82,89,59,59,"176cm | 5'9""
                                                                              Average  (79kg)",101,432,2114
Idrissa Gueye,84,CDM,Rare,3.5K,3,3,M \ H,69,61,71,78,85,79,"174cm | 5'9""
                                                                              Lean  (66kg)",229,443,2122
Lautaro Martínez,84,ST,Rare,4.4K,4,4,H \ M,83,82,71,85,48,82,"174cm | 5'9""
                                                                              Average  (81kg)",1181,451,2150
Marcelo Brozovic,84,CDM,Rare,4K,3,4,M \ H,63,74,80,81,79,78,"181cm | 5'11""
                                                                              Lean  (68kg)",102,455,2208
Julian Brandt,84,CAM,Rare,4.4K,4,4,H \ M,81,78,82,86,51,66,"185cm | 6'1""
                                                                              High & Average  (83kg)",451,444,2106
Axel Witsel,84,CDM,Rare,3.9K,4,4,M \ M,63,73,81,80,82,82,"186cm | 6'1""
                                                                              Unique  (81kg)",72,461,2248
Raúl Jiménez,84,ST,Rare,4K,3,4,H \ H,78,82,76,82,49,83,"190cm | 6'3""
                                                                              High & Average  (81kg)",748,450,2146
Douglas Costa,84,LM,Rare,23.75K,5,3,H \ M,93,73,79,90,43,59,"172cm | 5'8""
                                                                              Unique  (70kg)",543,437,2096
Niklas Süle,84,CB,Rare,8.8K,2,3,M \ M,69,42,59,51,85,81,"195cm | 6'5""
                                                                              High & Stocky  (97kg)",138,387,1714
Anthony Martial,84,ST,Rare,6.3K,4,3,M \ M,89,83,74,87,41,72,"184cm | 6'0""
                                                                              Unique  (76kg)",4741,446,2095
Leon Goretzka,84,CM,Rare,4.8K,3,4,H \ M,78,78,80,82,77,82,"189cm | 6'2""
                                                                              Unique  (76kg)",1351,477,2276
Lucas Pezzini Leiva,84,CDM,Rare,4K,3,3,M \ H,60,66,76,78,83,71,"179cm | 5'10""
                                                                              Average  (78kg)",41,434,2131
Jesús Corona,84,RM,Rare,3.3K,4,5,H \ M,84,68,78,88,77,60,"173cm | 5'8""
                                                                              Average  (62kg)",84,455,2223
Saúl Ñíguez Esclápez,84,CM,Rare,4.5K,3,4,H \ H,68,79,79,81,78,79,"184cm | 6'0""
                                                                              Lean  (76kg)",147,464,2245
José María Giménez,84,CB,Rare,4.4K,2,3,M \ H,67,45,53,56,86,83,"185cm | 6'1""
                                                                              High & Average  (80kg)",140,390,1784
Wilfred Ndidi,84,CDM,Rare,3.8K,3,4,M \ H,71,62,68,74,87,84,"183cm | 6'0""
                                                                              Lean  (74kg)",1086,446,2146
Arthur Henrique Ramos Oliveira Melo,84,CM,Rare,4.1K,4,3,M \ M,66,73,82,87,75,71,"171cm | 5'7""
                                                                              Average  (73kg)",100,454,2198
Alex Telles,84,LB,Rare,4.9K,3,2,H \ H,85,74,83,80,79,76,"181cm | 5'11""
                                                                              Unique  (71kg)",2289,477,2300
Thomas Partey,84,CM,Rare,4.2K,3,3,M \ H,71,74,81,81,82,85,"185cm | 6'1""
                                                                              High & Average  (77kg)",863,474,2229
Douglas Costa,84,LM,Rare,4K,5,3,H \ M,93,73,79,90,43,59,"172cm | 5'8""
                                                                              Unique  (70kg)",1171,437,2096
Callejón José,84,RM,Rare,4K,3,3,H \ H,88,78,75,83,47,63,Lean  (73kg),275,434,2064
Callejón José,84,RM,Rare,0,3,3,H \ H,88,78,75,83,47,63,Lean  (73kg),18,434,2064
Edinson Cavani,84,ST,Rare,5.5K,3,4,H \ H,73,85,70,76,55,82,"185cm | 6'1""
                                                                              Unique  (77kg)",2947,441,2148
Bernat,83,LB,Rare,2.8K,4,3,H \ M,81,64,79,83,76,67,"170cm | 5'7""
                                                                              Short & Lean-  (67kg)",164,450,2148
Lopes,83,GK,Rare,1.2K,1,2,M \ M,85,80,74,86,63,80,"184cm | 6'0""
                                                                              Average  (81kg)",155,468,1045
Steve Mandanda,83,GK,Rare,1.2K,1,3,M \ M,81,81,78,84,49,81,"185cm | 6'1""
                                                                              High & Average  (82kg)",176,454,946
Marcos Acuña,83,LB,Rare,0,4,3,H \ H,76,74,82,86,78,82,"172cm | 5'8""
                                                                              Stocky  (69kg)",103,478,2305
João Cancelo,83,RB,Rare,6.4K,4,3,H \ M,86,65,79,83,77,71,"182cm | 6'0""
                                                                              Unique  (74kg)",859,461,2197
Marcelo,83,LB,Rare,3.5K,5,4,H \ L,79,73,80,88,76,76,"174cm | 5'9""
                                                                              Unique  (75kg)",768,472,2255
Ferland Mendy,83,LB,Rare,5.9K,4,5,H \ H,92,64,76,79,78,82,"180cm | 5'11""
                                                                              Unique  (73kg)",9205,471,2168
Kieran Trippier,83,RB,Rare,4.1K,3,4,H \ M,73,60,81,77,79,72,"173cm | 5'8""
                                                                              Average  (71kg)",46,442,2186
Aaron Wan-Bissaka,83,RB,Rare,4.8K,4,2,M \ H,86,51,68,80,82,74,"183cm | 6'0""
                                                                              Unique  (72kg)",1914,441,2044
Joe Gomez,83,CB,Rare,6.5K,3,3,M \ M,82,30,66,70,83,80,"188cm | 6'2""
                                                                              Unique  (77kg)",6970,411,1849
Joel Matip,83,CB,Rare,4K,2,2,M \ M,60,46,68,68,85,78,"194cm | 6'4""
                                                                              High & Average+  (90kg)",37,405,1896
Dele Alli,83,CAM,Rare,2.9K,4,3,H \ H,72,80,79,83,71,79,"188cm | 6'2""
                                                                              Unique  (80kg)",334,464,2236
Steven Bergwijn,83,LM,Rare,2.9K,4,2,H \ M,87,79,78,85,39,73,"178cm | 5'10""
                                                                              Stocky  (78kg)",759,441,2062
Gabriel Jesus,83,ST,Rare,3.5K,4,3,H \ H,85,82,72,87,42,72,"175cm | 5'9""
                                                                              Unique  (73kg)",3796,440,2107
Ilkay Gündogan,83,CM,Rare,5.4K,4,4,H \ M,66,74,84,84,72,71,"180cm | 5'11""
                                                                              Average  (80kg)",207,451,2199
Federico Valverde,83,CM,Rare,3.8K,3,3,H \ H,86,74,78,80,77,80,"182cm | 6'0""
                                                                              Lean  (78kg)",3606,475,2210
Lucas,83,RM,Rare,3.7K,4,4,H \ M,92,78,72,87,43,67,"174cm | 5'9""
                                                                              Unique  (70kg)",4101,439,2122
Alessio Romagnoli,83,CB,Rare,3.4K,2,3,M \ H,70,40,56,70,85,78,"188cm | 6'2""
                                                                              High & Average  (78kg)",305,399,1806
Zlatan Ibrahimovic,83,ST,Rare,1.2K,5,4,M \ L,52,88,77,79,34,77,"195cm | 6'5""
                                                                              Unique  (95kg)",804,407,2027
Luiz Frello Filho Jorge,83,CM,Rare,2.3K,3,3,M \ M,55,65,84,80,72,73,"180cm | 5'11""
                                                                              Lean  (68kg)",12,429,2136
Mateo Kovacic,83,CM,Rare,2.2K,4,4,H \ H,75,69,83,87,69,70,"176cm | 5'9""
                                                                              Average  (80kg)",268,453,2169
Thorgan Hazard,83,LM,Rare,1.8K,4,4,H \ H,84,77,81,85,52,67,"175cm | 5'9""
                                                                              Lean  (71kg)",280,446,2146
Gareth Bale,83,RW,Rare,3.7K,4,3,M \ M,88,84,82,80,58,73,"185cm | 6'1""
                                                                              Unique  (82kg)",2897,465,2247
Achraf Hakimi,83,RM,Rare,2.1K,3,2,H \ M,94,70,76,82,72,76,"181cm | 5'11""
                                                                              Lean  (73kg)",781,470,2155
Martin Ødegaard,83,CAM,Rare,4.2K,5,2,M \ M,78,75,84,84,58,63,"178cm | 5'10""
                                                                              Lean  (68kg)",412,442,2113
Wilfried Zaha,83,LM,Rare,2.3K,5,3,M \ M,90,75,72,87,34,75,"180cm | 5'11""
                                                                              Unique  (66kg)",1353,433,1974
Coutinho,83,CAM,Rare,2.9K,5,4,M \ M,72,79,82,88,52,59,"172cm | 5'8""
                                                                              Lean  (68kg)",613,432,2132
Ousmane Dembélé,83,LW,Rare,2.7K,5,5,H \ M,92,77,77,86,36,56,"178cm | 5'10""
                                                                              Unique  (67kg)",6120,424,2020
Rafa,83,LM,Rare,1.3K,4,3,H \ M,94,73,74,87,50,52,"172cm | 5'8""
                                                                              Lean  (66kg)",285,430,2032
João Moutinho,83,CM,Rare,1.7K,3,4,H \ H,56,75,86,83,72,66,"170cm | 5'7""
                                                                              Short & Lean-  (61kg)",110,438,2200
Dušan Tadic,83,CF,Rare,1.1K,4,3,M \ M,66,80,84,84,41,73,"181cm | 5'11""
                                                                              Unique  (76kg)",115,428,2098
